Ranking,Institute,State
1,"National Institute of Technology, Tiruchirappalli",Tamil Nadu
2,"National Institute of Technology, Rourkela",Odisha
3,"National Institute of Technology Karnataka, Surathkal",Karnataka
4,"National Institute of Technology, Warangal",Telangana
5,National Institute of Technology Calicut,Kerala
6,"National Institute of Technology, Kurukshetra",Haryana
7,Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh
8,"Indian Institute of Information Technology, Allahabad",Uttar Pradesh
9,National Institute of Technology Durgapur,West Bengal
10,"National Institute of Technology, Silchar",Assam
11,Malaviya National Institute of Technology Jaipur,Rajasthan
12,"Sardar Vallabhbhai National Institute of Technology, Surat",Gujarat
13,National Institute of Technology Delhi,Delhi
14,National Institute of Technology Hamirpur,Himachal Pradesh
15,Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh
16,"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra
17,National Institute of Technology Meghalaya,Meghalaya
18,National Institute of Technology Agartala,Tripura
19,National Institute of Technology Raipur,Chhattisgarh
20,National Institute of Technology Goa,Goa
21,"National Institute of Technology, Jamshedpur",Jharkhand
22,National Institute of Technology Patna,Bihar
23,National Institute of Technology Nagaland,Nagaland
24,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab
25,"National Institute of Technology, Andhra Pradesh",Andhra Pradesh
26,"National Institute of Technology, Uttarakhand",Uttarakhand
27,National Institute of Technology Arunachal Pradesh,Arunachal Pradesh
28,National Institute of Technology Sikkim,Sikkim
29,"National Institute of Technology, Srinagar",Jammu and Kashmir
30,National Institute of Technology Puducherry,Puducherry
31,"National Institute of Technology, Manipur",Manipur
32,"National Institute of Technology, Mizoram",Mizoram
