Institute,State,NIRF Ranking,India Today,Outlook India Ranking,Placement Statistics ,Research Statistics,Alumni Statistics
"National Institute of Technology, Tiruchirappalli",Tamil Nadu,1,1,1,5,5,4
"National Institute of Technology, Rourkela",Odisha,2,3,4,4,5,4
"National Institute of Technology Karnataka, Surathkal",Karnataka,3,2,2,4,5,5
"National Institute of Technology, Warangal",Telangana,4,4,3,5,5,5
National Institute of Technology Calicut,Kerala,5,5,6,4,5,4
"National Institute of Technology, Kurukshetra",Haryana,6,7,7,4,4,5
"Indian Institute of Information Technology, Allahabad",Uttar Pradesh,7,6,5,5,4,3
Motilal Nehru National Institute of Technology Allahabad,Uttar Pradesh,8,9,12,4,5,5
National Institute of Technology Durgapur,West Bengal,9,11,9,4,4,4
"National Institute of Technology, Silchar",Assam,10,10,10,3,4,4
Malaviya National Institute of Technology Jaipur,Rajasthan,11,12,11,4,4,5
"Sardar Vallabhbhai National Institute of Technology, Surat",Gujarat,12,8,15,4,4,4
National Institute of Technology Delhi,Delhi,13,16,13,4,5,4
National Institute of Technology Hamirpur,Himachal Pradesh,14,17,14,4,4,3
Maulana Azad National Institute of Technology Bhopal,Madhya Pradesh,15,18,8,4,4,4
"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra,16,19,17,4,4,5
National Institute of Technology Meghalaya,Meghalaya,17,13,18,3,3,2
National Institute of Technology Agartala,Tripura,18,14,19,3,3,2
National Institute of Technology Raipur,Chhattisgarh,19,15,16,3,3,2
National Institute of Technology Goa,Goa,20,21,28,3,3,2
"National Institute of Technology, Jamshedpur",Jharkhand,21,22,24,3,3,2
National Institute of Technology Patna,Bihar,22,29,25,4,2,2
National Institute of Technology Nagaland,Nagaland,23,30,26,3,2,2
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Punjab,24,31,27,4,2,3
"National Institute of Technology, Andhra Pradesh",Andhra Pradesh,25,20,20,3,2,2
"National Institute of Technology, Uttarakhand",Uttarakhand,26,28,21,3,1,2
National Institute of Technology Arunachal Pradesh,Arunachal Pradesh,27,27,22,3,1,2
National Institute of Technology Sikkim,Sikkim,28,23,23,2,1,2
"National Institute of Technology, Srinagar",Jammu and Kashmir,29,24,29,2,1,1
National Institute of Technology Puducherry,Puducherry,30,25,30,2,1,1
"National Institute of Technology, Manipur",Manipur,31,26,31,1,1,1
"National Institute of Technology, Mizoram",Mizoram,32,27,32,1,1,1
,,,,,,,
